CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Date,Time,PoluutionLevel
0,0.444117647,0,0.052,0.303523035,0,0.353335818,0,0.496216216,0.294094332,0.451,0.736,0.679,10/3/2004,05.00.00,0
0,0.444607843,0,0.05,0.300361337,0,0.362281029,0,0.493693694,0.308759413,0.446,0.744,0.679,10/3/2004,06.00.00,0
0,0.496568627,0,0.085,0.352755194,0,0.308982482,0,0.529369369,0.354340071,0.444,0.749,0.679,10/3/2004,07.00.00,0
0,0.517156863,0,0.088,0.359078591,0,0.298173686,0,0.531891892,0.367419738,0.457,0.723,0.68,10/3/2004,08.00.00,0
0,0.557843137,0,0.118,0.397470641,0,0.270965337,0,0.554234234,0.409829568,0.484,0.685,0.695,10/3/2004,09.00.00,0
0,0.612745098,0,0.168,0.453026197,0,0.241147969,0,0.59027027,0.482362267,0.527,0.614,0.697,10/3/2004,10.00.00,0
0,0.571078431,0,0.132,0.413730804,0,0.265001864,0,0.546666667,0.433214427,0.576,0.525,0.677,10/3/2004,11.00.00,0
0,0.60245098,0,0.177,0.462962963,0,0.247111442,0,0.572252252,0.425287356,0.596,0.493,0.674,10/3/2004,12.00.00,0
0,0.57254902,0,0.13,0.411472448,0,0.266492732,0,0.546666667,0.384066587,0.614,0.471,0.675,10/3/2004,13.00.00,0
0,0.535294118,0,0.094,0.367660343,0,0.295937384,0,0.521081081,0.307966706,0.614,0.483,0.688,10/3/2004,14.00.00,0
0,0.543627451,0,0.105,0.380758808,0,0.286619456,0,0.525405405,0.294490686,0.608,0.488,0.684,10/3/2004,15.00.00,0
0,0.555392157,0,0.097,0.371725384,0,0.288855758,0,0.522162162,0.307966706,0.603,0.501,0.695,10/3/2004,16.00.00,0
0,0.584313725,0,0.121,0.40063234,0,0.266865449,0,0.536216216,0.324613555,0.603,0.501,0.697,10/3/2004,17.00.00,0
0,0.63627451,0,0.173,0.458446251,0,0.241147969,0,0.583423423,0.418549346,0.554,0.585,0.711,10/3/2004,18.00.00,0
0,0.747058824,0,0.327,0.596205962,0,0.191576593,0,0.693693694,0.586999604,0.531,0.627,0.72,10/3/2004,19.00.00,0
0,0.754901961,0,0.336,0.603432701,0,0.18561312,0,0.695135135,0.63020214,0.509,0.672,0.729,10/3/2004,20.00.00,0
0,0.583333333,0,0.163,0.448057814,0,0.243756988,0,0.571891892,0.479984146,0.491,0.692,0.715,10/3/2004,21.00.00,0
0,0.535294118,0,0.13,0.411472448,0,0.273947074,0,0.542702703,0.416963932,0.493,0.674,0.7,10/3/2004,22.00.00,0
0,0.528921569,0,0.122,0.401987353,0,0.277674245,0,0.548468468,0.396353547,0.46,0.732,0.693,10/3/2004,23.00.00,0
0,0.487745098,0,0.086,0.356368564,0,0.308609765,0,0.516036036,0.346413,0.444,0.754,0.685,10/4/2004,00.00.00,0
0,0.470588235,0,0.082,0.348690154,0,0.312336936,0,0.515675676,0.337693222,0.413,0.807,0.672,10/4/2004,01.00.00,0
0,0.43627451,0,0.05,0.300813008,0,0.361162877,0,0.476756757,0.288545382,0.424,0.773,0.664,10/4/2004,02.00.00,0
0,0.421568627,0,0.042,0.285456188,0,0.386507641,0,0.476396396,0.282600079,0.399,0.815,0.652,10/4/2004,03.00.00,0
0,0.421568627,0,0.047,0.294489612,0,0.371598956,0,0.477837838,0.290923504,0.383,0.833,0.639,10/4/2004,04.00.00,0
0,0.432843137,0,0.063,0.322041554,0,0.34923593,0,0.486846847,0.307966706,0.397,0.793,0.632,10/4/2004,05.00.00,0
0,0.455392157,0,0.088,0.359078591,0,0.319791278,0,0.494774775,0.323028141,0.383,0.809,0.625,10/4/2004,06.00.00,0
0,0.539215686,0,0.174,0.459801265,0,0.263138278,0,0.566846847,0.397146254,0.41,0.761,0.629,10/4/2004,07.00.00,0
0,0.616176471,0,0.316,0.586720867,0,0.204994409,0,0.671711712,0.516052319,0.415,0.755,0.634,10/4/2004,08.00.00,0
0,0.687254902,0,0.37,0.629177958,0,0.188222139,0,0.708828829,0.61117717,0.446,0.696,0.636,10/4/2004,09.00.00,0
0,0.674509804,0,0.33,0.598012647,0,0.196421916,0,0.67963964,0.622671423,0.513,0.593,0.651,10/4/2004,10.00.00,0
0,0.673529412,0,0.342,0.607949413,0,0.193440179,0,0.688288288,0.639714625,0.543,0.552,0.654,10/4/2004,11.00.00,0
0,0.676960784,0,0.347,0.612014453,0,0.192322028,0,0.695855856,0.627427665,0.578,0.504,0.654,10/4/2004,12.00.00,0
0,0.628431373,0,0.286,0.563233966,0,0.209094297,0,0.659099099,0.509314308,0.583,0.502,0.66,10/4/2004,13.00.00,0
0,0.582352941,0,0.223,0.50767841,0,0.232948192,0,0.596396396,0.433610781,0.608,0.453,0.637,10/4/2004,14.00.00,0
0,0.601470588,0,0.234,0.518066847,0,0.22810287,0,0.615135135,0.441141498,0.614,0.449,0.642,10/4/2004,15.00.00,0
0,0.668627451,0,0.331,0.599819332,0,0.196794633,0,0.683963964,0.552913199,0.648,0.409,0.641,10/4/2004,16.00.00,0
0,0.750490196,0,0.476,0.703703704,0,0.168095416,0,0.785945946,0.642092747,0.637,0.423,0.639,10/4/2004,17.00.00,0
0,0.830392157,0,0.653,0.815266486,0,0.145732389,0,0.909189189,0.745937376,0.583,0.495,0.653,10/4/2004,18.00.00,1
0,0.844607843,0,0.702,0.842818428,0,0.140887067,0,0.941261261,0.795085216,0.545,0.559,0.666,10/4/2004,19.00.00,1
0,0.664705882,0,0.334,0.601174345,0,0.193812896,0,0.693693694,0.651208878,0.522,0.598,0.67,10/4/2004,20.00.00,0
0,0.531372549,0,0.157,0.442186089,0,0.260529258,0,0.554594595,0.491082045,0.507,0.621,0.668,10/4/2004,21.00.00,0
0,0.509313725,0,0.14,0.422764228,0,0.272456206,0,0.54018018,0.444312327,0.475,0.669,0.663,10/4/2004,22.00.00,0
0,0.495588235,0,0.116,0.395212285,0,0.293328364,0,0.521081081,0.40110979,0.462,0.687,0.656,10/4/2004,23.00.00,0
0,0.474509804,0,0.1,0.375338753,0,0.301900857,0,0.513513514,0.380895759,0.448,0.711,0.654,10/5/2004,00.00.00,0
0,0.425,0,0.058,0.31300813,0,0.361908312,0,0.481081081,0.326991677,0.442,0.715,0.645,10/5/2004,01.00.00,0
0,0.401960784,0,0.039,0.280036134,0,0.402907193,0,0.457657658,0.278636544,0.466,0.663,0.641,10/5/2004,02.00.00,0
0,0.404901961,0,0.042,0.285004517,0,0.399552739,0,0.461261261,0.298057868,0.399,0.787,0.63,10/5/2004,03.00.00,0
0,0.409313725,0,0.039,0.280036134,0,0.392471114,0,0.454054054,0.293697979,0.422,0.736,0.628,10/5/2004,04.00.00,0
0,0.434803922,0,0.064,0.323848238,0,0.355944838,0,0.480720721,0.311533888,0.395,0.784,0.623,10/5/2004,05.00.00,0
0,0.485294118,0,0.122,0.401535682,0,0.284383153,0,0.522522523,0.377328577,0.39,0.786,0.615,10/5/2004,06.00.00,0
0,0.740686275,0,0.484,0.708672087,0,0.177413343,0,0.790990991,0.634562029,0.39,0.79,0.618,10/5/2004,07.00.00,0
0,0.662745098,0,0.414,0.661698284,0,0.1830041,0,0.72,0.6424891,0.415,0.738,0.618,10/5/2004,08.00.00,0
0,0.655392157,0,0.339,0.604787715,0,0.195676482,0,0.673873874,0.642885454,0.462,0.66,0.63,10/5/2004,09.00.00,0
0,0.703431373,0,0.358,0.620144535,0,0.191203876,0,0.688288288,0.69718589,0.536,0.549,0.64,10/5/2004,10.00.00,0
0,0.675,0,0.303,0.57633243,0,0.200894521,0,0.645045045,0.66032501,0.583,0.494,0.65,10/5/2004,11.00.00,0
0,0.765686275,0,0.477,0.704155375,0,0.16884085,0,0.767567568,0.760206104,0.641,0.421,0.646,10/5/2004,12.00.00,0
0,0.665686275,0,0.367,0.627371274,0,0.192322028,0,0.67963964,0.60443916,0.626,0.428,0.629,10/5/2004,13.00.00,0
0,0.637745098,0,0.268,0.547425474,0,0.214312337,0,0.618738739,0.527942925,0.637,0.424,0.64,10/5/2004,14.00.00,0
0,0.615196078,0,0.229,0.513098464,0,0.227730153,0,0.603603604,0.468886247,0.639,0.421,0.642,10/5/2004,15.00.00,0
0,0.691176471,0,0.339,0.605239386,0,0.198658218,0,0.663423423,0.560443916,0.691,0.359,0.623,10/5/2004,16.00.00,0
0,0.773529412,0,0.501,0.720415537,0,0.171077152,0,0.785945946,0.66587396,0.666,0.373,0.607,10/5/2004,17.00.00,0
0,0.833333333,0,0.636,0.804878049,0,0.14945956,0,0.865945946,0.794292509,0.605,0.453,0.635,10/5/2004,18.00.00,1
0,0.871568627,0,0.653,0.815266486,0,0.141632501,0,0.891171171,0.829964328,0.574,0.536,0.69,10/5/2004,19.00.00,1
0,0.754411765,0,0.375,0.633242999,0,0.177040626,0,0.727207207,0.705509314,0.536,0.645,0.752,10/5/2004,20.00.00,0
0,0.690686275,0,0.319,0.588979223,0,0.186358554,0,0.659099099,0.650019818,0.509,0.685,0.743,10/5/2004,21.00.00,0
0,0.603431373,0,0.201,0.486449864,0,0.224375699,0,0.569369369,0.546571542,0.489,0.675,0.694,10/5/2004,22.00.00,0
0,0.535294118,0,0.137,0.419150858,0,0.25642937,0,0.52972973,0.45144669,0.502,0.657,0.7,10/5/2004,23.00.00,0
0,0.507843137,0,0.107,0.383920506,0,0.283265002,0,0.508468468,0.396749901,0.487,0.679,0.692,10/6/2004,00.00.00,0
0,0.482352941,0,0.083,0.352303523,0,0.301900857,0,0.496216216,0.360681728,0.475,0.692,0.684,10/6/2004,01.00.00,0
0,0.465686275,0,0.072,0.335591689,0,0.313455088,0,0.496216216,0.354736425,0.433,0.771,0.678,10/6/2004,02.00.00,0
0,0.435784314,0,0.05,0.300361337,0,0.351472233,0,0.472072072,0.319064606,0.444,0.734,0.668,10/6/2004,03.00.00,0
0,0.424019608,0,0.044,0.287262873,0,0.369735371,0,0.463063063,0.30162505,0.448,0.709,0.65,10/6/2004,04.00.00,0
0,0.449509804,0,0.057,0.309846432,0,0.347745061,0,0.46990991,0.319064606,0.41,0.772,0.641,10/6/2004,05.00.00,0
0,0.48872549,0,0.097,0.371725384,0,0.299664555,0,0.502702703,0.354340071,0.406,0.772,0.631,10/6/2004,06.00.00,0
0,0.70245098,0,0.38,0.636404697,0,0.188594857,0,0.710630631,0.570352755,0.395,0.795,0.63,10/6/2004,07.00.00,0
0,0.743137255,0,0.502,0.720867209,0,0.159895639,0,0.786666667,0.676179152,0.41,0.764,0.632,10/6/2004,08.00.00,0
0,0.749019608,0,0.405,0.654471545,0,0.176295192,0,0.734774775,0.695996829,0.457,0.69,0.649,10/6/2004,09.00.00,0
0,0.660294118,0,0.254,0.535682023,0,0.20872158,0,0.617297297,0.591755846,0.504,0.627,0.672,10/6/2004,10.00.00,0
0,0.682352941,0,0.278,0.556007227,0,0.197540067,0,0.638198198,0.621086009,0.576,0.523,0.675,10/6/2004,11.00.00,0
0,0.666176471,0,0.259,0.539747064,0,0.202012672,0,0.642882883,0.545382481,0.601,0.503,0.693,10/6/2004,12.00.00,0
0,0.681862745,0,0.287,0.564137308,0,0.193067462,0,0.664864865,0.554498613,0.583,0.523,0.691,10/6/2004,13.00.00,0
0,0.654411765,0,0.229,0.513550136,0,0.209839732,0,0.623063063,0.512485137,0.59,0.519,0.694,10/6/2004,14.00.00,0
0,0.687254902,0,0.268,0.547877145,0,0.197540067,0,0.644684685,0.534284582,0.614,0.495,0.709,10/6/2004,15.00.00,0
0,0.689215686,0,0.27,0.549232159,0,0.202012672,0,0.638558559,0.520808561,0.664,0.414,0.67,10/6/2004,16.00.00,0
0,0.748529412,0,0.386,0.640921409,0,0.177413343,0,0.708468468,0.597304796,0.643,0.421,0.649,10/6/2004,17.00.00,0
0,0.764215686,0,0.422,0.666666667,0,0.172568021,0,0.728648649,0.657946889,0.576,0.497,0.642,10/6/2004,18.00.00,0
0,0.901960784,0,0.691,0.836495032,0,0.134178159,0,0.92,0.849385652,0.549,0.558,0.673,10/6/2004,19.00.00,1
0,0.816666667,0,0.487,0.710478771,0,0.159150205,0,0.790990991,0.780023781,0.522,0.613,0.69,10/6/2004,20.00.00,0
0,0.654901961,0,0.264,0.543812105,0,0.202012672,0,0.633873874,0.590566786,0.502,0.653,0.693,10/6/2004,21.00.00,0
0,0.582843137,0,0.173,0.45799458,0,0.238911666,0,0.55963964,0.495045581,0.509,0.629,0.682,10/6/2004,22.00.00,0
0,0.600980392,0,0.179,0.464769648,0,0.231084607,0,0.565765766,0.501387237,0.457,0.703,0.662,10/6/2004,23.00.00,0
0,0.574019608,0,0.155,0.43902439,0,0.24226612,0,0.550990991,0.468093539,0.455,0.724,0.675,10/7/2004,00.00.00,0
0,0.491176471,0,0.078,0.344173442,0,0.303391726,0,0.499099099,0.378121284,0.48,0.683,0.683,10/7/2004,01.00.00,0
0,0.465686275,0,0.058,0.314363144,0,0.333209094,0,0.495495495,0.346809354,0.455,0.747,0.702,10/7/2004,02.00.00,0
0,0.455882353,0,0.049,0.298102981,0,0.344763325,0,0.476036036,0.332144273,0.469,0.701,0.68,10/7/2004,03.00.00,0
0,0.452941176,0,0.046,0.290424571,0,0.353335818,0,0.478918919,0.326991677,0.446,0.745,0.681,10/7/2004,04.00.00,0
0,0.487254902,0,0.069,0.330623306,0,0.317554976,0,0.504504505,0.349583829,0.444,0.756,0.686,10/7/2004,05.00.00,0
0,0.533823529,0,0.116,0.394308943,0,0.276183377,0,0.532972973,0.392390012,0.451,0.726,0.671,10/7/2004,06.00.00,0
0,0.719607843,0,0.305,0.578139115,0,0.193067462,0,0.684324324,0.564011098,0.442,0.749,0.674,10/7/2004,07.00.00,0
0,0.831372549,0,0.582,0.772809395,0,0.142750652,0,0.887927928,0.722552517,0.469,0.703,0.683,10/7/2004,08.00.00,0
0,0.725,0,0.349,0.612917796,0,0.1830041,0,0.698018018,0.626634958,0.504,0.643,0.686,10/7/2004,09.00.00,0
0,0.698529412,0,0.29,0.566847335,0,0.192322028,0,0.671711712,0.594530321,0.527,0.602,0.683,10/7/2004,10.00.00,0
0,0.626960784,0,0.22,0.504065041,0,0.218784942,0,0.601081081,0.502576298,0.554,0.543,0.663,10/7/2004,11.00.00,0
0,0.646568627,0,0.243,0.526196929,0,0.212821469,0,0.628108108,0.487514863,0.608,0.461,0.646,10/7/2004,12.00.00,0
0,0.651470588,0,0.246,0.529358627,0,0.209094297,0,0.626666667,0.477209671,0.581,0.498,0.654,10/7/2004,13.00.00,0
0,0.650490196,0,0.246,0.529358627,0,0.210957883,0,0.62954955,0.477606025,0.603,0.471,0.653,10/7/2004,14.00.00,0
0,0.628431373,0,0.199,0.485546522,0,0.22549385,0,0.594954955,0.437177963,0.61,0.459,0.649,10/7/2004,15.00.00,0
0.244,0.657843137,0,0.24,0.522583559,0.181,0.213194186,0.256,0.615135135,0.473642489,0.641,0.424,0.649,10/7/2004,16.00.00,1
0.454,0.795588235,0,0.452,0.687443541,0.269,0.166604547,0.326,0.76036036,0.64130004,0.628,0.434,0.644,10/7/2004,17.00.00,2
0.445,0.77254902,0,0.41,0.658536585,0.283,0.172568021,0.35,0.729369369,0.648830757,0.565,0.516,0.648,10/7/2004,18.00.00,2
0.563,0.856372549,0,0.582,0.771906052,0.348,0.148714126,0.376,0.854054054,0.743559255,0.538,0.57,0.667,10/7/2004,19.00.00,2
0.588,0.86127451,0,0.56,0.758807588,0.452,0.147595975,0.344,0.821621622,0.776456599,0.52,0.617,0.686,10/7/2004,20.00.00,2
0.235,0.65245098,0,0.259,0.539295393,0.22,0.208348863,0.271,0.618018018,0.585414189,0.5,0.644,0.682,10/7/2004,21.00.00,1
0.143,0.579411765,0,0.173,0.458897922,0.141,0.245247857,0.215,0.566486486,0.479587792,0.489,0.656,0.674,10/7/2004,22.00.00,0
0.143,0.569607843,0,0.17,0.455284553,0.124,0.245247857,0.176,0.560720721,0.459770115,0.469,0.691,0.669,10/7/2004,23.00.00,0
0.143,0.562254902,0,0.151,0.435411021,0.112,0.248975028,0.176,0.546666667,0.442330559,0.462,0.699,0.665,10/8/2004,00.00.00,0
0.101,0.509803922,0,0.102,0.377597109,0.075,0.284010436,0.156,0.512792793,0.386048355,0.455,0.705,0.66,10/8/2004,01.00.00,0
0.059,0.450980392,0,0.057,0.310749774,0.045,0.342899739,0.138,0.474594595,0.325009909,0.46,0.7,0.662,10/8/2004,02.00.00,0
0.059,0.456372549,0,0.052,0.302619693,0,0.346999627,0,0.477837838,0.31391201,0.419,0.772,0.654,10/8/2004,03.00.00,0
0.067,0.467647059,0,0.069,0.330171635,0.059,0.322400298,0.126,0.49009009,0.332540626,0.408,0.793,0.65,10/8/2004,04.00.00,0
0.076,0.480882353,0,0.086,0.356820235,0.099,0.304509877,0.138,0.500900901,0.355925486,0.408,0.79,0.652,10/8/2004,05.00.00,0
0.143,0.562254902,0,0.17,0.455736224,0.189,0.243384271,0.147,0.572612613,0.434403488,0.408,0.789,0.651,10/8/2004,06.00.00,1
0.479,0.787254902,0,0.49,0.712737127,0.45,0.163995527,0.238,0.794594595,0.707887436,0.435,0.75,0.663,10/8/2004,07.00.00,2
0.361,0.730392157,0,0.389,0.643179765,0.4,0.173313455,0.221,0.732612613,0.63575109,0.437,0.754,0.672,10/8/2004,08.00.00,2
0.328,0.722058824,0,0.38,0.636404697,0.377,0.180022363,0.256,0.714954955,0.648830757,0.473,0.689,0.675,10/8/2004,09.00.00,2
0.429,0.775490196,0,0.463,0.695121951,0.469,0.162131942,0.376,0.771531532,0.724137931,0.52,0.617,0.688,10/8/2004,10.00.00,2
0.311,0.719607843,0,0.33,0.597560976,0.358,0.184867685,0.309,0.689369369,0.650416171,0.547,0.592,0.709,10/8/2004,11.00.00,2
0.277,0.692647059,0,0.308,0.580397471,0.279,0.193067462,0.297,0.678558559,0.596512089,0.592,0.516,0.696,10/8/2004,12.00.00,2
0.303,0.68627451,0,0.333,0.601174345,0.247,0.193812896,0.294,0.69045045,0.580657947,0.621,0.442,0.644,10/8/2004,13.00.00,1
0.269,0.667156863,0,0.283,0.559168925,0.233,0.204248975,0.288,0.65045045,0.542211653,0.628,0.446,0.661,10/8/2004,14.00.00,1
0.294,0.680882353,0,0.322,0.592140921,0.229,0.195676482,0.288,0.664864865,0.692826001,0.643,0.433,0.666,10/8/2004,15.00.00,1
0.202,0.639705882,0,0.245,0.527100271,0.201,0.218412225,0.288,0.609009009,0.515655965,0.639,0.444,0.679,10/8/2004,16.00.00,1
0.244,0.66372549,0,0.301,0.575880759,0.199,0.202385389,0.265,0.648288288,0.530321046,0.637,0.449,0.681,10/8/2004,17.00.00,1
0.193,0.662745098,0,0.314,0.585365854,0.143,0.199030936,0.247,0.665225225,0.529924693,0.592,0.517,0.698,10/8/2004,18.00.00,0
0.261,0.721568627,0,0.331,0.59936766,0.218,0.185240403,0.297,0.682882883,0.600871978,0.565,0.558,0.702,10/8/2004,19.00.00,1
0.244,0.692156863,0,0.292,0.567299006,0.225,0.195676482,0.288,0.647567568,0.56876734,0.558,0.574,0.711,10/8/2004,20.00.00,1
0.126,0.598529412,0,0.193,0.479223126,0.11,0.23071189,0.224,0.581981982,0.466904479,0.552,0.589,0.715,10/8/2004,21.00.00,0
0.126,0.602941176,0,0.162,0.447154472,0.102,0.243011554,0.209,0.561801802,0.440348791,0.538,0.613,0.719,10/8/2004,22.00.00,0
0.143,0.61127451,0,0.151,0.434056007,0.113,0.248229594,0.209,0.565405405,0.440745145,0.534,0.632,0.731,10/8/2004,23.00.00,0
0.134,0.596568627,0,0.155,0.440379404,0.118,0.247856877,0.194,0.563963964,0.439556084,0.5,0.683,0.721,10/9/2004,00.00.00,0
0.109,0.567647059,0,0.135,0.416892502,0.096,0.250838613,0.182,0.547387387,0.424891003,0.491,0.693,0.716,10/9/2004,01.00.00,0
0.118,0.56372549,0,0.115,0.393405601,0.105,0.259783824,0.171,0.541261261,0.408244154,0.473,0.727,0.714,10/9/2004,02.00.00,0
0.076,0.520098039,0,0.085,0.354561879,0,0.285501305,0,0.521441441,0.370590567,0.471,0.726,0.71,10/9/2004,03.00.00,0
0.076,0.520588235,0,0.08,0.347786811,0.065,0.290719344,0.141,0.522522523,0.365437971,0.478,0.72,0.715,10/9/2004,04.00.00,0
0.109,0.567156863,0,0.122,0.401987353,0.104,0.25382035,0.156,0.558198198,0.417756639,0.466,0.752,0.726,10/9/2004,05.00.00,0
0.109,0.572058824,0,0.129,0.409665763,0.143,0.25382035,0.162,0.557837838,0.428854538,0.462,0.761,0.727,10/9/2004,06.00.00,0
0.244,0.687745098,0,0.276,0.555103884,0.258,0.194931047,0.185,0.674594595,0.541022592,0.469,0.747,0.725,10/9/2004,07.00.00,1
0.269,0.712254902,0,0.316,0.586269196,0.318,0.182258666,0.203,0.699099099,0.59334126,0.482,0.718,0.726,10/9/2004,08.00.00,2
0.286,0.713235294,0,0.294,0.569105691,0.314,0.187103988,0.247,0.673153153,0.610384463,0.531,0.631,0.728,10/9/2004,09.00.00,2
0.303,0.741176471,0,0.306,0.579042457,0.304,0.18561312,0.279,0.684324324,0.615933413,0.583,0.543,0.716,10/9/2004,10.00.00,2
0.193,0.65245098,0,0.204,0.48870822,0.185,0.219157659,0.235,0.608648649,0.496234641,0.639,0.478,0.73,10/9/2004,11.00.00,1
0.261,0.721568627,0,0.286,0.562782294,0.207,0.190831159,0.256,0.674954955,0.576694411,0.63,0.511,0.76,10/9/2004,12.00.00,1
0.277,0.700980392,0,0.254,0.536133695,0.208,0.200894521,0.276,0.652972973,0.5307174,0.65,0.495,0.776,10/9/2004,13.00.00,1
0.16,0.619607843,0,0.173,0.458897922,0.126,0.232575475,0.224,0.594594595,0.420927467,0.648,0.499,0.779,10/9/2004,14.00.00,0
0.218,0.675490196,0,0.25,0.531616983,0.161,0.204248975,0.271,0.63963964,0.501783591,0.664,0.477,0.773,10/9/2004,15.00.00,0
0.227,0.675,0,0.223,0.507226739,0.168,0.215430488,0.276,0.618378378,0.484740388,0.659,0.484,0.776,10/9/2004,16.00.00,0
0.311,0.748529412,0,0.312,0.58401084,0.256,0.187103988,0.324,0.687207207,0.582243361,0.643,0.508,0.783,10/9/2004,17.00.00,1
0.319,0.771078431,0,0.341,0.606594399,0.261,0.175177041,0.321,0.717117117,0.615537059,0.605,0.577,0.804,10/9/2004,18.00.00,1
0.403,0.820588235,0,0.403,0.653568202,0.312,0.166977264,0.359,0.744144144,0.669441141,0.594,0.594,0.805,10/9/2004,19.00.00,2
0.294,0.713235294,0,0.272,0.550135501,0.266,0.199403653,0.315,0.647207207,0.54974237,0.587,0.583,0.777,10/9/2004,20.00.00,2
0.185,0.608823529,0,0.176,0.461607949,0.18,0.234811778,0.244,0.591351351,0.45144669,0.556,0.636,0.782,10/9/2004,21.00.00,1
0.126,0.578921569,0,0.14,0.422312556,0.107,0.261274693,0.182,0.563963964,0.380499405,0.558,0.631,0.779,10/9/2004,22.00.00,0
0.286,0.719607843,0,0.239,0.521680217,0.216,0.210585166,0.262,0.626306306,0.512485137,0.549,0.648,0.781,10/9/2004,23.00.00,1
0.311,0.745098039,0,0.27,0.54968383,0.277,0.205739843,0.303,0.652972973,0.537851764,0.554,0.641,0.782,10/10/2004,00.00.00,2
0.168,0.589705882,0,0.187,0.472448058,0.151,0.231457324,0.218,0.59963964,0.437177963,0.536,0.667,0.777,10/10/2004,01.00.00,0
0.118,0.537254902,0,0.127,0.407859079,0.072,0.272828923,0.153,0.562162162,0.33967499,0.534,0.679,0.785,10/10/2004,02.00.00,0
0.092,0.485784314,0,0.077,0.342818428,0,0.314945956,0,0.518918919,0.260800634,0.527,0.691,0.786,10/10/2004,03.00.00,0
0,0.46127451,0,0.057,0.309846432,0.034,0.351099515,0.112,0.506666667,0.217598098,0.511,0.722,0.785,10/10/2004,04.00.00,0
0.059,0.466666667,0,0.058,0.313911472,0.038,0.339172568,0.115,0.514954955,0.248513674,0.498,0.74,0.778,10/10/2004,05.00.00,0
0.101,0.530392157,0,0.099,0.372628726,0.11,0.280655982,0.174,0.54990991,0.368608799,0.478,0.779,0.775,10/10/2004,06.00.00,0
0.109,0.536764706,0,0.121,0.400180668,0.126,0.262765561,0.165,0.567207207,0.396749901,0.478,0.769,0.768,10/10/2004,07.00.00,0
0.092,0.514215686,0,0.099,0.373080397,0.101,0.285128587,0.15,0.548108108,0.363456203,0.498,0.735,0.774,10/10/2004,08.00.00,0
0.084,0.517156863,0,0.088,0.359078591,0.07,0.300782706,0.15,0.538378378,0.330558859,0.54,0.665,0.782,10/10/2004,09.00.00,0
0.101,0.526470588,0,0.08,0.346431798,0.097,0.303391726,0.171,0.536576577,0.315497424,0.545,0.694,0.828,10/10/2004,10.00.00,0
0.16,0.60245098,0,0.141,0.425022584,0.149,0.253447633,0.2,0.595675676,0.412207689,0.556,0.672,0.823,10/10/2004,11.00.00,0
0.193,0.601960784,0,0.146,0.429990967,0.204,0.248975028,0.238,0.584504505,0.439952438,0.549,0.663,0.8,10/10/2004,12.00.00,1
0.134,0.542647059,0,0.093,0.364498645,0.145,0.286246739,0.215,0.557117117,0.331351566,0.471,0.866,0.846,10/10/2004,13.00.00,0
0.109,0.505392157,0,0.069,0.330623306,0.11,0.325009318,0.203,0.531891892,0.279032897,0.444,0.879,0.801,10/10/2004,14.00.00,0
0.151,0.566176471,0,0.091,0.363143631,0.157,0.303764443,0.238,0.544144144,0.306381292,0.435,0.908,0.803,10/10/2004,15.00.00,0
0.143,0.554411765,0,0.104,0.379855465,0.172,0.292210212,0.241,0.551711712,0.321442727,0.439,0.892,0.801,10/10/2004,16.00.00,0
0.151,0.560294118,0,0.122,0.401987353,0.151,0.277301528,0.209,0.568648649,0.336107808,0.466,0.824,0.793,10/10/2004,17.00.00,0
0.168,0.56127451,0,0.132,0.413279133,0.167,0.27320164,0.238,0.571531532,0.353547364,0.473,0.773,0.762,10/10/2004,18.00.00,0
0.185,0.573039216,0,0.13,0.411020777,0.226,0.27059262,0.256,0.563243243,0.393182719,0.473,0.77,0.758,10/10/2004,19.00.00,1
0.134,0.541666667,0,0.127,0.408762421,0.162,0.273574357,0.212,0.567927928,0.37653587,0.475,0.763,0.755,10/10/2004,20.00.00,0
0.109,0.514215686,0,0.096,0.369015357,0.114,0.300409989,0.185,0.546666667,0.349583829,0.466,0.773,0.749,10/10/2004,21.00.00,0
0.126,0.524019608,0,0.105,0.381210479,0.125,0.285874022,0.185,0.55027027,0.349980182,0.466,0.768,0.744,10/10/2004,22.00.00,0
0.126,0.525980392,0,0.104,0.378500452,0.12,0.286246739,0.185,0.558198198,0.353547364,0.464,0.771,0.74,10/10/2004,23.00.00,0
0.109,0.509313725,0,0.096,0.369015357,0.089,0.297800969,0.162,0.541261261,0.331351566,0.451,0.795,0.734,10/11/2004,00.00.00,0
0.118,0.500490196,0,0.094,0.36630533,0.091,0.295937384,0.153,0.541261261,0.331747919,0.453,0.766,0.713,10/11/2004,01.00.00,0
0.042,0.404411765,0,0.022,0.242095754,0.026,0.448378681,0.094,0.469189189,0.197384067,0.435,0.794,0.702,10/11/2004,02.00.00,0
0.034,0.405882353,0,0.027,0.25203252,0,0.434588148,0,0.46990991,0.195798652,0.422,0.832,0.712,10/11/2004,03.00.00,0
0.034,0.415196078,0,0.03,0.260162602,0.022,0.424524786,0.085,0.476036036,0.200951249,0.401,0.876,0.708,10/11/2004,04.00.00,0
0.05,0.442647059,0,0.053,0.306684734,0.061,0.356317555,0.129,0.499099099,0.261593341,0.408,0.867,0.715,10/11/2004,05.00.00,0
0.092,0.510294118,0,0.113,0.390695574,0.111,0.282146851,0.156,0.535495495,0.3575109,0.417,0.844,0.714,10/11/2004,06.00.00,0
